Cargo,Local,Empresa,Descrição,Rating
CIENTISTA DE DADOS,"Home office in Joinville, SC",Inklua Servicos Para Inclusao de Pcd Ltda,"
Desenvolvimento de soluções baseadas em machine learning.
Bom relacionamento e comunicação interpessoal.
Postado há 6 dias·",Sem informacao
CIENTISTA DE DADOS | TECNOLOGIA PARA PRODUTOS DIGITAIS,Home office,Globo,"
Bancos de dados relacionais (SQL é obrigatório);
Os seus dados pessoais serão utilizados para fins de seleção de candidatos para preenchimento das vagas abertas…
Postado há 30+ dias·","3,5"
CIENTISTA DE DADOS JÚNIOR,"São Paulo, SP",Amplifica Digital,"
Implementar e validar modelos preditivos; Criar modelos estatísticos com foco em Big Data; Desenvolvimento de modelos em Machine Learning (ML), utilizando…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS PLENO,Home office,Banco Bmg - Trabalhe conosco,"
Habilidade e vivência computacional com Banco de dados (SQL, ORACLE, etc) visando a extração, limpeza, tratamento e organização dos dados;
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS SR,Home office,Vem ser CESAR!,"
Formação superior em cursos como Engenharia da Computação, Ciência da Computação, Engenharia Elétrica ou similares.
Descontos em cursos da CESAR School.
Postado há 17 dias·",Sem informacao
CIENTISTA DE DADOS SR.,"São Paulo, SP",Youse,"Buscamos alguém pra pensar de forma estratégica, entendendo o nosso modelo de negócio e se orientando por meio de dados e informações pra elaborar ações…Postado há 19 dias·",Sem informacao
CIENTISTA DE DADOS,"Home office in São Paulo, SP",ViaHub,"
Diploma em um campo como estatística, ciência da computação, matemática ou engenharias ou mais de 2 anos de experiência prática trabalhando com ciência de dados…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,"Campinas, SP",Eldorado,"
Atuar como engenheiro de dados em parceria com grande empresa multinacional.
Bons conhecimentos em linguagem SQL.
Postado há 30+ dias·","3,7"
CIENTISTA DE DADOS - SAO PAULO,"São Paulo, SP",OEmprego,"
Experiência com gestão, manipulação e análise de dados, preferencialmente dados de Marketing, Negócio, Finanças ou Bancários.
Postado há 9 dias·",Sem informacao
CIENTISTA DE DADOS (PROCESSAMENTO EM LINGUAGEM NATURAL (NLP)...,Home office,Indra,"
NLP SOM STT (fala para texto);
Plano de Saúde subsidiado pela empresa para o titular.
Gympass (Acesso a mais de 700 academias em todo o Brasil com planos a…
Postado há 30+ dias·","3,8"
CIENTISTA DE DADOS PYTHON (REMOTO),"Home office in São Paulo, SP",GeekHunter,"
Ferramentas de análise e visualização de dados;
Ter capacidade de comunicação de dados para pessoas com perfil não analítico;
O que esperamos de você.
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS PLENO,"Brasília, DF+1 local",marketdata,"
Domínio de linguagem SQL para manipulação de dados;
A Marketdata é uma das mais completas empresas de marketing de relacionamento do mercado latino-americano…
Postado há 6 dias·",Sem informacao
CIENTISTA DE DADOS PLENO - DESENVOLVIMENTO DE PRODUTOS,"São Paulo, SP",infracommerce,"
Participação na construção do framework da plataforma Infra.Data.
Atuação no desenvolvimento de soluções internas infracommerce.
Postado há 25 dias·","3,6"
"CIENTISTA DE DADOS (PYTHON, JAVASCRIPT, E NODE.JS)",Home office,Turing.com,"
Experiência demonstrável na ciência dos dados.
Experiência com projetos de ciência de dados auto-gerenciados.
Conduzir unit tests e revisões de código.
Postado há 10 dias·",Sem informacao
CIENTISTA DE DADOS SÊNIOR,Home office,Qexpert,"
Coordenação, cooperação e comunicação tanto com o time técnico quanto com a área de negócios;
Formação na área de ciências exatas, tecnologia, engenharias, ou…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,"Campinas, SP",Jobbol,"Empresa de Biologia Sintética admite Cientista de Dados em Campinas para atuar em Tempo integral, Comercial. Suportar, por meio de análise de dados, os…Postado há 6 dias·",Sem informacao
CIENTISTA DE DADOS SÊNIOR,"Home office in São Paulo, SP",STORMGROUP,"
Responsável por construir algoritmos matemáticos e estatísticos através de técnicas de machine learning, data mining e grandes volumes de dados com visão…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS R,"Home office in Barueri, SP",GeekHunter,"
Modelagem estatística BigData Python Data science Machine learning.
Superior completo em estatística, matemática aplicada, engenharia, computação ou demais…
Postado há 28 dias·",Sem informacao
CIENTISTA DE DADOS - ESPECIALISTA,Home office,Mollica IT,"
Ferramentas de visualização de dados - Tableau, Microstrategy, PowerBI etc;
Interagir com diversos stakeholders para assegurar entendimento da necessidade e…
Postado há 6 dias·",Sem informacao
CIENTISTA DE DADOS,"São Paulo, SP",GFT Technologies SE,"
Conhecimento de Ferramentas de Nuvem (preferencialmente AWS).
Big enough to deliver – small enough to care.
Postado há 2 dias·",Sem informacao
CIENTISTA DE DADOS SÊNIOR,"Home office in Belo Horizonte, MG",Sympla,"
Apoiar no desenvolvimento e na evolução profissional de outros cientistas do time.
Como membro do time de Data Intelligence, deverá aplicar sua experiência em…
Postado há 30+ dias·","5,0"
CIENTISTA DE DADOS - CONSULTOR(A),"São Paulo, SP",Vivo Digital,"
Conhecimento técnico avançado de infraestruturas de banco dados (bancos de dados relacionais, não relacionais, etc.) e ambiente Big Data / Hadoop (Hive/Spark…
Postado há 11 dias·","4,3"
