Cargo,Local,Empresa,Descrição,Rating
ANALISTA DE DADOS,Home office,Grupo Primo,"
Familiaridade com alguma cloud (preferência AWS);
Salário compatível com o mercado;
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS,"Home office in São Paulo, SP",Nomah,"
Conhecimento em modelagem dimensional de dados;
Experiência de 2+ anos em áreas de dados, inteligência de mercado ou correlatas.
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS PLENO,"Home office in São Paulo, SP",Neogrid,"
O time de Estratégia & Governança de Dados tem a missão de gerenciar os dados, para prover informação e inteligência afim de viabilizar o funcionamento das…
Postado há 20 dias·","3,6"
ANALISTA DE DADOS JÚNIOR,"São Paulo, SP",Assaí Atacadista - O atacadista que mais cresce no...,"
Experiência com banco de dados: Microsoft SQL Server, Oracle;
Especialização em Ciência Dados / Engenharia de Dados, Data Analytics ou afins (Desejável);
Postado há 30+ dias·","4,1"
ANALISTA DE DADOS - DATA ANALYST,"São Paulo, SP",Supermercado Justo,"
R ou Python para análise de dados.
Experiência no design de ferramentas e relatórios usando linguagens do tipo SQL, especificamente em DQL (Data query language)…
Postado há 18 dias·",Sem informacao
ANALISTA DE DADOS - MACAÉ/RJ,Home office,Infotec Brasil,"
Atualização e automatização de planilhas com os dados extraídos do Sistema ERP (SAP) (Boletins de Avaliação de Desempenho de Fornecedores - BAD e Índice de…
Postado há 30+ dias·","4,2"
ANALISTA DE DADOS JR (PLANEJAMENTO COMERCIAL),Home office,MadeiraMadeira,"
Experiência prática no uso de ferramentas de BI (Looker, Tableau, PowerBI, etc.).
Conhecimento básico sobre plataformas cloud (preferencialmente plataforma AWS)…
Postado há 30+ dias·","3,2"
ANALISTA DE DADOS,"Home office in São Paulo, SP",Conquest One,"
Conhecimento em ferramentas de visualização de dados (Power BI).
Desenvolvimento de aplicações Spark/Hadoop/hbase com Kafka em Java.
Postado há 30+ dias·","3,8"
ANALISTA DE DADOS JÚNIOR,"Home office in São Paulo, SP",Valor Investimento,"
Tem familiaridade com sistemas de CRM e organização de dados;
Experiência em linguagem de programação Python;
Conhecimento básico de PHP, CSS e HTML.
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS CRM,Home office,Brivia,"
Experiência analisando dados de CRM.
Conhecimento para consultar bases de dados SQL.
Extração de dados de fontes primárias e secundárias e, em seguida,…
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS (OLX / ZAP+),"Home office in Rio de Janeiro, RJ",OLX Brasil,"
Conhecimento de SQL e desenvolvimento para extração de dados;
Experiência em análise de dados e gestão de KPIs no mercado digital;
E o que você precisa ter?
Postado há 30+ dias·","4,1"
ANALISTA DE DADOS - CANAIS DE RELACIONAMENTO,Home office,Central Ailos,"
Interpretar dados, analisar resultados usando técnicas estatísticas e fornecer relatórios de progresso;
Realizar análise crítica dos dados a fim de garantir a…
Postado há 2 dias·",Sem informacao
